cnpj,sigla,nome,bolsa,setor,faturamento,tamanho,confiabilidade_ambiental,maturidade_ambiental,pontuacao_ambiental,confiabilidade_social,maturidade_social,pontuacao_social,confiabilidade_governanca,maturidade_governanca,pontuacao_governanca,pontuacao_total,nivel_risco
00000001408710,FN,Fabrinet,NYSE,Equipamentos Elétricos,1800.0,8000,Auditada,Alta,510,Não auditada,Média,209,Não auditada,Média,210,929,Risco Moderado
00000001468174,H,Hyatt Hotels Corp,NYSE,Hotéis Restaurantes e Lazer,3377.0,66000,Não auditada,Média,235,Não auditada,Média,209,Não auditada,Média,205,649,Alto Risco
00000001561894,HASI,Hannon Armstrong Sustainable Infrastructure Capital Inc,NYSE,Imobiliário,300.0,250,Não auditada,Excelente,646,Não auditada,Alta,404,Auditada,Média,313,1363,Baixo Risco
00000001834622,HAYW,Hayward Holdings Inc,NYSE,Construção Civil,600.0,2500,Auditada,Alta,535,Auditada,Média,305,Auditada,Média,300,1140,Risco Moderado
00000001709164,HBB,Hamilton Beach Brands Holding Co,NYSE,Produtos de Consumo,1700.0,4500,Não auditada,Média,245,Não auditada,Média,272,Não auditada,Média,230,747,Alto Risco
00000001691303,HCC,Warrior Met Coal Inc,NYSE,Metais e Mineração,700.0,3500,Não auditada,Média,215,Não auditada,Média,200,Não auditada,Média,200,615,Alto Risco
00000001400810,HCI,Hci Group Inc,NYSE,Seguros,350.0,500,Não auditada,Média,205,Não auditada,Média,260,Auditada,Média,300,765,Alto Risco
00000000354707,HE,Hawaiian Electric Industries Inc,NYSE,Utilidades,2700.0,7300,Auditada,Alta,585,Auditada,Média,348,Auditada,Média,310,1243,Baixo Risco
00000001528396,GWRE,Guidewire Software Inc,NYSE,Tecnologia,820.0,3200,Auditada,Alta,549,Auditada,Média,321,Auditada,Média,330,1200,Baixo Risco
00000000313143,HAE,Haemonetics Corp,NYSE,Cuidados com a Saúde,900.0,5500,Não auditada,Alta,448,Auditada,Média,303,Auditada,Média,305,1056,Risco Moderado
00000001283140,HEP,Holly Energy Partners LP,NYSE,Energia,600.0,800,Auditada,Alta,511,Não auditada,Média,225,Não auditada,Média,215,951,Risco Moderado
00000001674168,HGV,Hilton Grand Vacations Inc,NYSE,Hotéis Restaurantes e Lazer,1300.0,7000,Auditada,Média,305,Não auditada,Média,288,Não auditada,Média,250,843,Alto Risco
00000001417398,HI,Hillenbrand Inc,NYSE,Maquinário,900.0,4000,Não auditada,Alta,489,Auditada,Média,349,Auditada,Média,300,1138,Risco Moderado
00000001498828,HHC,Howard Hughes Corp,NYSE,Imobiliário,1200.0,1600,Auditada,Alta,500,Auditada,Média,300,Auditada,Média,300,1100,Risco Moderado
00000001404655,HUBS,HubSpot Inc,NYSE,Tecnologia,1301.0,5400,Não auditada,Alta,480,Auditada,Média,329,Auditada,Média,320,1129,Risco Moderado
00000001789832,HESM,Hess Midstream LP,NYSE,Energia,500.0,800,Auditada,Média,307,Não auditada,Média,257,Não auditada,Média,255,819,Alto Risco
00000000046619,HEI,HEICO Corp,NYSE,Aeroespacial e Defesa,2100.0,7000,Não auditada,Média,225,Não auditada,Média,203,Não auditada,Média,205,633,Alto Risco
