cik,ticker,revenue_2021_millions_usd,employees_2021
1178670,ALNY,980,1200
1365767,ALLT,150,800
1737287,ALLO,30,300
6951,AMAT,23063,29000
2488,AMD,16434,15500
718877,ATVI,8803,9800
1730168,AVGO,27450,20000
1013462,ANSS,1908,5500
1018724,AMZN,469822,1608000
1711012,AIHS,100,500
1841666,APA,6261,2400
875045,BIIB,10982,9000
1075531,BKNG,10958,17000
813672,CDNS,2988,8800
1402057,CDW,20829,14800
1043277,CHRW,23102,19000
20286,CINF,7189,5800
1091667,CHTR,51682,101000
1166691,CMCSA,116385,189000
900075,CPRT,2688,23000
909832,COST,192052,288000
277948,CSX,12522,22742
1058290,CTSH,18521,300600
1156375,CME,4688,3000
858877,CSCO,49818,79500
723254,CTAS,7058,45000
877890,CTXS,3278,9700
1590895,CZR,9567,65000
1001082,DISH,17186,16500
935703,DLTR,27209,193000
1093557,DXCM,2389,6000
712515,EA,5629,9900
352541,LNT,1655,4400
1539838,FANG,5720,1100
1065088,EBAY,10420,11600
1065696,LKQ,12549,46000
1652044,GOOGL,257637,156500
1048286,MAR,13857,120000
827054,MCHP,5383,20000
707549,LRCX,14629,15000
1103982,MDLZ,28720,79000
1326801,META,117929,71970
1278021,MKTX,855,700
865752,MNST,5541,3500
1682852,MRNA,18471,3900
891103,MTCH,2983,2800
1280452,MPWR,1207,2600
789019,MSFT,168088,181000
723125,MU,27705,45000
1120193,NDAQ,3587,6600
849399,NLOK,2793,4000
73124,NTRS,6056,20000
814453,NWL,9464,32000
1045810,NVDA,16675,22473
1564824,ALLK,20,200
1564708,NWSA,10051,22000
878927,ODFL,5213,23000
75362,PCAR,23522,27000
1413447,NXPI,11063,34500
898173,ORLY,13328,88000
723531,PAYX,4055,16000
1126328,PFG,15000,21000
745732,ROST,18916,100000
1034054,SBAC,2287,2000
804328,QCOM,33566,45000
945841,POOL,4693,5600
77476,PEP,79474,309000
829224,SBUX,29061,383000
910606,REG,1034,400
1604778,QRVO,3243,8000
857005,PTC,1806,7000
921738,PENN,5897,24500
1633917,PYPL,25371,30900
872589,REGN,16072,11300
318154,AMGN,25979,24000
883241,SNPS,4204,16000
1137789,STX,10706,40000
842023,TECH,892,5000
97210,TER,3703,5300
4127,SWKS,5202,9000
864749,TRMB,3659,12600
1113169,TROW,8020,8000
946581,TTWO,3373,5800
1318605,TSLA,53823,99290
916365,TSCO,12254,45000
97476,TXN,18344,31000
1283699,TMUS,79571,75000
100517,UAL,24634,84100
1442145,VRSK,2773,10000
1403568,ULTA,8629,47000
875320,VRTX,7569,4000
1792044,VTRS,17824,38000
1014473,VRSN,1328,1000
1618921,WBA,132703,315000
1002047,NTAP,5744,10700
72903,XEL,13423,12000
818479,XRAY,4001,16000
877212,ZBRA,5627,9900
1158449,AAP,11270,68000
109380,ZION,2832,10000
1174922,WYNN,1327,24000
1090872,A,6319,16000
1551152,ABBV,56197,50000
1140859,ABC,222903,44000
7084,ADM,85249,40000
1800,ABT,20243,113000
1002910,AEE,2534,9000
874761,AES,10511,8000
4977,AFL,22124,12000
1467373,ACN,50533,624000
354190,AJG,7782,33000
1267238,AIZ,5116,18000
766421,ALK,6175,22000
915913,ALB,3128,7200
5272,AIG,52522,36200
899051,ALL,44799,54000
1579241,ALLE,2336,11000
820027,AMP,13500,12000
1037868,AME,5540,18900
1053507,AMT,8042,5765
91142,AOS,3252,13600
2969,APD,10324,21900
315293,AON,12193,50000
1596532,ANET,2585,6000
820313,APH,10876,90000
731802,ATO,3600,4500
1410636,AWK,3930,7100
1035443,ARE,2108,1000
1521332,APTV,15590,168000
915912,AVB,2253,3000
8818,AVY,8026,35000
12927,BA,62286,141000
70858,BAC,89113,208000
10456,BAX,12823,60000
701985,BBWI,7388,31000
10795,BDX,20248,75000
12208,BIO,2798,7600
764478,BBY,51760,102000
1390777,BK,15895,50300
4962,AXP,41769,64000
1383312,BR,4700,13000
14272,BMY,46385,32200
79282,BRO,3200,10000
866787,AZO,14629,103000
885725,BSX,11888,40000
1393818,BX,13000,3600
1037540,BXP,2775,2600
719739,SIVB,3085,8500
831001,C,71884,223400
18230,CAT,51048,97300
1783180,CARR,18606,55000
1138118,CBRE,27442,105000
1051470,CCI,5785,5000
1725057,CDAY,1006,6000
28412,CMA,2866,8800
882184,DHI,21977,12700
29905,DOV,7913,24000
940944,DRI,9595,177000
1306830,CE,7250,9000
29534,DG,34221,158000
1058090,CMG,7547,97600
1022079,DGX,10790,47000
815097,CCL,1909,88000
313927,CHD,4996,5900
1751788,DOW,54968,35700
1393612,DFS,11649,18000
1326160,DUK,25079,28000
783280,DRE,1021,600
1324404,CF,5310,3000
1090012,DVN,11567,1600
31462,ECL,12654,48000
354950,HD,151157,490600
936340,DTE,14054,10000
827052,EIX,14208,14000
24741,GLW,14082,50000
927066,DVA,11638,67000
106040,WDC,16922,67000
886982,GS,59339,45100
1688568,DXC,16265,130000
1551182,ETN,19628,85000
1047862,ED,12947,14000
47111,HSY,8971,16000
200406,JNJ,93775,136400
19617,JPM,121649,271025
21344,KO,38655,79000
1170010,KMX,28184,29500
1336920,LDOS,13746,45000
58492,LEG,4283,21000
63908,MCD,23223,200000
1707925,LIN,30793,82000
18926,LUMN,19688,22000
1489393,LYB,46768,19200
1059556,MCO,6037,14000
927653,MCK,238228,67000
62996,MAS,7974,20000
60667,LOW,96250,300000
1613103,MDT,30117,95000
63754,MKC,6317,13000
1099219,MET,69878,43000
789570,MGM,9682,44000
62709,MMC,17012,78000
764180,MO,21119,7000
908255,BWA,14839,49000
310158,MRK,48704,68000
101778,MRO,5272,2300
1510295,MPC,120376,18000
895421,MS,59755,75498
36270,MTB,5714,17000
1037646,MTD,3318,14600
68505,MSI,7878,19000
753308,NEE,17069,14900
1408198,MSCI,1978,3800
1513761,NCLH,1295,32500
1111711,NI,1765,7600
1133421,NOC,35667,90000
1373715,NOW,5896,17000
73309,NUE,36484,27400
1492633,NLSN,6336,14000
702165,NSC,11142,20900
906163,NVR,8498,6700
80661,PGR,45277,49900
78003,PFE,81288,79000
822416,PHM,13842,6300
76334,PH,14884,55000
31791,PKI,3780,15000
1045609,PLD,4759,2600
79879,PPG,16827,49000
1393311,PSA,2822,5900
713676,PNC,17775,56000
1413329,PM,31405,71000
75677,PKG,7025,14000
1534701,PSX,111407,14300
1137774,PRU,59188,40000
77360,PNR,3536,11600
764622,PNW,3648,6700
922224,PPL,7892,6800
1050915,PWR,12754,47000
720005,RJF,9765,15000
1281761,RF,6073,22000
884887,RCL,5542,60000
1037038,RL,6179,26000
78239,PVH,9153,40000
315213,RHI,5855,38500
1038357,PXD,9483,1750
84839,ROL,2032,13000
943819,RMD,3202,8000
316709,SCHW,18521,33200
1024478,ROK,6977,23000
1260221,TDG,14196,14000
1012100,SEE,5674,17000
882835,ROP,5543,14000
93556,SWK,15617,54700
16918,STZ,8819,10000
310764,SYK,17108,40000
96021,SYY,57981,57000
89800,SHW,19945,61000
64040,SPGI,8297,33790
1757898,STE,4527,18000
1601712,SYF,8180,20000
1063761,SPG,4738,4300
1032208,SRE,10998,15000
92122,SO,20537,29000
93751,STT,12034,40000
91440,SNA,3735,14700
101829,RTX,64388,181000
874766,HIG,22388,20000
1385157,TEL,14197,65000
96943,TFX,2537,14000
92230,TFC,14934,55000
1094285,TDY,3082,13000
27419,TGT,106005,440000
109198,TJX,48549,294000
1116132,TPR,6038,15000
86312,TRV,33977,30400
97745,TMO,39211,80000
1466258,TT,14125,38000
100493,TSN,47049,137000
860731,TYL,1090,5800
217346,TXT,12867,35000
731766,UNH,287597,350000
1090727,UPS,97287,534000
74208,UDR,1054,1700
352915,UHS,12642,90000
1285785,MOS,12344,14600
36104,USB,23290,68000
1067701,URI,10138,19600
899689,VNO,1765,4400
1035002,VLO,108332,10000
103379,VFC,11803,35000
1403161,V,12970,21500
740260,VTR,3700,500
1396009,VMC,4625,10000
783325,WEC,7718,8000
766704,WELL,4707,3400
1000697,WAT,2562,7300
823768,WM,18199,49500
943452,WAB,7836,27000
107263,WMB,10627,6800
72971,WFC,78492,250000
106640,WHR,19407,78000
105770,WST,2815,8400
11544,WRB,10026,8000
104169,WMT,572754,2300000
1365135,WU,5062,10000
1041061,YUM,6090,34000
1524472,XYL,5202,21000
106535,WY,10201,9600
1732845,WRK,18286,49000
34088,XOM,276692,63000
1136869,ZBH,8001,21000
1555280,ZTS,7776,12100
315189,DE,44024,69000
1666700,DD,15668,34300
715957,D,15785,17000
64803,CVS,292111,258000
27904,DAL,29899,83000
1108524,CRM,26492,73541
93410,CVX,155606,42595
1755672,CTVA,15655,23000
858470,CTRA,2300,700
1596783,CTLT,4185,16000
16732,CPB,8475,14000
1100682,CRL,3537,19000
1163165,COP,47020,9700
711404,COO,3105,14000
927628,COF,31364,51300
1071739,CNC,125985,75000
1130310,CNP,8178,8500
811156,CMS,6963,7500
26172,CMI,19811,57825
21665,CL,17421,33700
66740,MMM,35355,95000
759944,CFG,7188,17500
23217,CAG,11198,18000
1739940,CI,174078,74000
721371,CAH,162467,44000
1141391,MA,18884,24000
1679273,LW,4404,10000
912595,MAA,1780,2500
916076,MLM,5010,10500
92380,LUV,15791,56500
59558,LNC,18921,11000
920760,LEN,26266,8000
80424,PG,76118,101000
1821825,OGN,6518,9000
797468,OXY,25974,11400
1571996,DELL,101197,133000
1590955,PAYC,1005,5300
788784,PEG,9325,13000
1039684,OKE,14218,4600
1013871,NRG,9828,3600
60086,L,17012,19000
29989,OMC,14289,77000
1341439,ORCL,40479,143000
726728,O,1800,300
1286681,DPZ,4117,16000
732717,T,168864,203000
100885,UNP,21804,32269
1164727,NEM,11497,15300
1048911,FDX,83959,570000
320187,NKE,44538,73300
37996,F,136341,183000
936468,LMT,67044,114000
1060391,RSG,10150,40000
1463101,ENPH,1382,3000
1109357,EXC,35985,22500
746515,EXPD,16529,17711
1324424,EXPE,8598,22000
815556,FAST,5353,23000
1048695,FFIV,2601,6500
798354,FISV,14852,44000
1101239,EQIX,6636,10000
1262039,FTNT,2590,8000
1370637,ETSY,2329,2700
38777,BEN,1628,9400
1297996,DLR,4054,3000
313616,DHR,29453,78000
33185,EFX,4928,13000
1001250,EL,16215,85000
915389,EMN,9823,14400
32604,EMR,15160,86700
821189,EOG,17350,2800
906107,EQR,2257,2500
72741,ES,2327,8500
920522,ESS,1526,1500
35527,FITB,7651,20000
65984,ETR,11019,13000
1289490,EXR,1340,4400
1099800,EW,5232,14000
1754301,FOXA,14108,8400
831259,FCX,22845,27500
1031296,FE,11049,13000
1175454,FLT,2672,11000
1136893,FIS,13877,65000
1132979,FRC,5155,7000
37785,FMC,5047,7300
34903,FRT,878,200
1659166,FTV,2800,10000
39911,GPS,4480,90000
1121788,GRMN,4982,18000
749251,IT,4600,18000
59478,LLY,28318,35000
1095073,RE,11736,15000
1711269,EVRG,2423,5000
1519751,FBHS,3019,13000
882095,GILD,27305,13000
859737,HOLX,5594,9000
1000228,HSIC,11993,24000
773840,HON,34392,100000
1070750,HST,2765,200
40533,GD,38469,103100
46080,HAS,6421,15000
49196,HBAN,5606,17000
320335,GL,4850,9500
40987,GPC,17119,50000
1474735,GNRC,3736,7800
1123360,GPN,7735,26000
860730,HCA,58752,244000
1359841,HBI,6804,69000
1501585,HII,9524,43000
1645590,HPE,27784,60000
4447,HES,8479,1580
1585689,HLT,5788,68000
48465,HRL,11389,20000
47217,HPQ,63487,51000
49071,HUM,83064,95000
4281,HWM,4971,22000
765880,PEAK,1150,300
40704,GIS,18627,35000
40545,GE,74196,174000
1639920,SPOT,9668,7400
1660734,TRTN,1500,1000
1630472,TRTX,300,100
1552033,TRU,1900,9300
1670592,YETI,1410,1000
1345016,YELP,1003,4800
1614178,YEXT,369,1600
1364885,SPR,3454,13000
1819580,YSG,300,1500
1631761,YRD,300,3000
1673358,YUMC,1052,7000
1530804,TROX,1800,6900
1720446,ZEPP,200,3000
1802749,ZEV,100,500
1423774,ZUO,280,1400
1654126,ZIM,7300,4000
1403752,ZYME,30,300
1439288,ZWS,600,2500
1856314,YOU,200,900
1463172,ZEN,1100,5000
785786,PLXS,793,17000
1448397,SHIP,100,200
1831651,SHLS,200,900
913241,SHOO,330,2300
743238,SHYF,600,3000
1459839,SIBN,50,200
65596,SIEB,30,150
1692412,PLYA,500,4000
1091907,WWE,1055,850
1157075,PMCB,5,80
110471,WWW,800,4000
1616000,XHR,600,1500
1163302,X,16162,20000
1810997,XPEV,3265,10000
1166003,XPO,12814,44000
1398453,XIN,500,3000
1772720,XL,1600,1100
1725033,XYF,800,3000
775368,Y,1200,2700
1794350,YALA,200,1000
795403,WTS,500,2000
1551693,SIEN,120,600
910406,HAIN,1900,4000
1742518,MTC,200,1200
1634379,MTCR,100,300
1183765,MTEM,30,200
1091223,MTLS,200,900
1056358,MTEX,200,600
866273,MTRX,600,2500
1159036,HALO,200,900
819913,HALL,200,400
1277902,MVBF,200,600
1760689,MVST,100,400
65770,MVIS,20,200
1287098,MXCT,30,200
899923,MYGN,700,2700
1327607,MYFW,150,500
1288469,MXL,880,3200
1321834,MYMD,5,80
1823878,MYPS,100,500
1819394,MTTR,480,1500
1493594,MTSI,500,1600
840715,CLRO,200,600
749647,CLSN,20,150
885462,GURE,200,600
944480,GVP,200,800
1589061,GYRO,100,400
1434728,GWRS,100,300
1172222,HA,1990,8000
827876,CLSK,130,300
1539029,CLSD,30,100
1824013,HAAC,0,20
1109242,HAFC,200,600
1849867,CLST,50,100
1026662,CLWT,100,500
1705843,CLXT,50,200
1738177,CMBM,330,1500
1005229,CMCO,550,2500
943184,EVK,50,300
1466301,CLVS,30,400
1819615,CLVR,0,20
1751876,HAPP,5,80
1436425,HBCP,150,500
1123494,HBIO,150,600
706129,HBNC,250,900
775215,HBT,200,700
1636422,HCAT,300,1200
1824846,HCAR,0,30
1708493,HARP,10,100
858655,HAYN,430,1200
1098146,PNBK,100,300
1784567,HCDI,200,500
1403431,HCCI,150,400
1115055,PNFP,600,2200
1811764,PNT,0,20
1446159,POAI,20,150
1622345,POLA,50,300
1145197,PODD,298,2000
833640,POWI,580,1900
1015383,POWW,150,500
56868,PNRG,800,100
1766400,PNTG,800,8000
1028918,PPBI,600,2000
914122,PPIH,100,400
802481,PPC,4000,50000
1185348,PRAA,900,4000
1449792,PPSI,50,300
1689548,PRAX,20,200
1588978,PRCT,200,800
1784535,PRCH,300,1500
1876431,PRE,200,600
1046568,PRDO,600,3500
1300734,SISI,30,200
1451809,SITM,200,800
908937,SIRI,8700,9500
1753673,SJ,100,500
1829427,POW,200,1000
80420,POWL,500,2200
1627475,UPWK,503,800
883945,USAK,600,2200
27093,USAU,5,50
931584,USAP,200,700
101594,USEG,100,200
1088034,USIO,70,300
1082554,UTHR,1600,1700
1668243,URGN,30,200
912615,URBN,4033,23000
1789299,UTME,50,300
1452965,UTRS,100,500
1030471,UTSI,50,300
1729173,UXIN,400,4000
102212,UVSP,250,800
1597835,CMCM,200,900
22444,CMC,5543,15000
82020,USLM,200,700
706698,UTMD,100,400
1227654,CMP,1400,4000
1824301,CND,0,20
1733868,CNF,1500,5000
816956,CNMD,400,1500
1385280,CNK,1200,22000
1704720,CNNE,300,1200
1224608,CNO,1400,3400
21175,CNA,10900,5800
1503584,CMRE,500,800
861459,GVA,3500,9000
1408710,FN,1800,8000
1468174,H,3377,66000
1561894,HASI,300,250
1834622,HAYW,600,2500
1709164,HBB,1700,4500
1691303,HCC,700,3500
1400810,HCI,350,500
354707,HE,2700,7300
1528396,GWRE,820,3200
313143,HAE,900,5500
1283140,HEP,600,800
1674168,HGV,1300,7000
1417398,HI,900,4000
1498828,HHC,1200,1600
1404655,HUBS,1301,5400
1789832,HESM,500,800
46619,HEI,2100,7000
