cik,ticker,name,exchange,industry,revenue_M,employees,environment_grade,environment_level,environment_score,social_grade,social_level,social_score,governance_grade,governance_level,governance_score,total_grade,total_level,total_score,last_processing_date
0001776661,ADV,Advantage Solutions Inc,NASDAQ,Media,200.0,800,A,High,515,B,Medium,269,BB,Medium,328,BBB,High,1112,2022-04-20
0001501756,ADVM,Adverum Biotechnologies Inc,NASDAQ,Biotechnology,20.0,150,B,Medium,262,BB,Medium,321,B,Medium,235,BB,Medium,818,2022-04-16
0001040470,AEHR,Aehr Test Systems,NASDAQ,Semiconductors,50.0,200,B,Medium,290,B,Medium,262,BB,Medium,300,BB,Medium,852,2022-04-16
0001470683,AEHL,Antelope Enterprise Holdings Ltd,NASDAQ,Building,100.0,400,B,Medium,238,B,Medium,237,BB,Medium,325,BB,Medium,800,2022-06-10
0001750106,AEI,Alset Ehome International Inc,NASDAQ,Real Estate,100.0,300,A,High,520,B,Medium,207,B,Medium,210,BBB,High,937,2022-04-20
0000927003,AEIS,Advanced Energy Industries Inc,NASDAQ,Electrical Equipment,800.0,3000,A,High,500,BB,Medium,300,BB,Medium,300,BBB,High,1100,2022-04-16
0000004904,AEP,American Electric Power Company Inc,NASDAQ,Utilities,16455.0,17000,A,High,500,BB,Medium,300,BB,Medium,300,BBB,High,1100,2022-04-20
0000882291,AEMD,Aethlon Medical Inc,NASDAQ,Health Care,5.0,80,B,Medium,200,B,Medium,262,BB,Medium,315,BB,Medium,777,2022-04-16
0001708341,AESE,Allied Esports Entertainment Inc,NASDAQ,Hotels Restaurants and Leisure,30.0,200,B,Medium,200,B,Medium,200,B,Medium,200,B,Medium,600,2022-06-10
0001362190,AEYE,AudioEye Inc,NASDAQ,Technology,30.0,200,B,Medium,235,BB,Medium,301,BB,Medium,308,BB,Medium,844,2022-04-16
0001337553,AERI,Aerie Pharmaceuticals Inc,NASDAQ,Pharmaceuticals,200.0,600,A,High,500,B,Medium,264,BB,Medium,310,BBB,High,1074,2022-04-16
0000874292,AEY,ADDvantage Technologies Group Inc,NASDAQ,Electrical Equipment,300.0,1000,B,Medium,235,B,Medium,234,BB,Medium,300,BB,Medium,769,2022-04-16
0001841661,AFAQ,AF Acquisition Corp,NASDAQ,Financial Services,0.0,20,B,Medium,200,B,Medium,200,B,Medium,200,B,Medium,600,2022-06-21
0001608390,AFMD,Affimed NV,NASDAQ,Biotechnology,30.0,200,BB,Medium,368,BB,Medium,304,BB,Medium,310,BBB,High,982,2022-04-16
0001822523,AFCG,AFC Gamma Inc,NASDAQ,Real Estate,100.0,100,B,Medium,255,B,Medium,204,B,Medium,226,B,Medium,685,2022-06-10
0001823406,AFBI,Affinity Bancshares Inc,NASDAQ,Banking,100.0,400,B,Medium,200,B,Medium,207,B,Medium,200,B,Medium,607,2022-06-10
0001820953,AFRM,Affirm Holdings Inc,NASDAQ,Technology,765.0,1600,B,Medium,225,BB,Medium,335,BB,Medium,335,BB,Medium,895,2022-06-10
0001522860,AFIB,Acutus Medical Inc,NASDAQ,Health Care,20.0,200,B,Medium,205,B,Medium,211,B,Medium,235,B,Medium,651,2022-06-10
0001098972,AGEN,Agenus Inc,NASDAQ,Biotechnology,100.0,600,B,Medium,290,B,Medium,245,BB,Medium,300,BB,Medium,835,2022-04-16
0001771007,AFYA,Afya Ltd,NASDAQ,Diversified Consumer Services,370.0,4500,B,Medium,290,B,Medium,203,B,Medium,205,B,Medium,698,2022-06-10
0001592016,AGFS,AgroFresh Solutions Inc,NASDAQ,Chemicals,100.0,500,A,High,500,BB,Medium,301,B,Medium,275,BBB,High,1076,2022-04-16
0001800637,AGFY,Agrify Corp,NASDAQ,Machinery,50.0,300,A,High,540,BB,Medium,361,BB,Medium,305,A,High,1206,2022-06-10
0001790625,AGIL,AgileThought Inc,NASDAQ,Technology,50.0,300,BB,Medium,340,B,Medium,299,BB,Medium,305,BBB,High,944,2022-06-11
0001705402,AGMH,AGM Group Holdings Inc,NASDAQ,Financial Services,30.0,150,B,Medium,205,B,Medium,204,B,Medium,210,B,Medium,619,2022-06-10
0001439222,AGIO,Agios Pharmaceuticals Inc,NASDAQ,Biotechnology,230.0,800,A,High,520,BB,Medium,303,BB,Medium,325,BBB,High,1148,2022-04-16
0001636282,AGLE,Aeglea Bio Therapeutics Inc,NASDAQ,Biotechnology,20.0,150,B,Medium,205,B,Medium,223,B,Medium,200,B,Medium,628,2022-09-16
0001423689,AGNC,AGNC Investment Corp,NASDAQ,Real Estate,2100.0,80,BB,Medium,382,B,Medium,242,BB,Medium,305,BBB,High,929,2022-04-16
0001826397,AGRI,AgriFORCE Growing Systems Ltd,NASDAQ,Food Products,100.0,500,A,High,510,B,Medium,248,BB,Medium,305,BBB,High,1063,2022-06-11
0001261249,AGRX,Agile Therapeutics Inc,NASDAQ,Pharmaceuticals,5.0,80,B,Medium,240,B,Medium,203,B,Medium,260,B,Medium,703,2022-04-16
0000078749,AGYS,Agilysys Inc,NASDAQ,Technology,200.0,1500,A,High,500,BB,Medium,303,BB,Medium,300,BBB,High,1103,2022-04-16
0001273636,AGTC,Applied Genetic Technologies Corp,NASDAQ,Biotechnology,10.0,150,B,Medium,235,BB,Medium,323,BB,Medium,305,BB,Medium,863,2022-04-16
0001725255,AHCO,Adapthealth Corp,NASDAQ,Health Care,800.0,6500,B,Medium,210,B,Medium,211,B,Medium,235,B,Medium,656,2022-06-10
0000874710,AHPI,Allied Healthcare Products Inc,NASDAQ,Health Care,30.0,200,B,Medium,210,B,Medium,228,BB,Medium,325,BB,Medium,763,2022-04-16
0001882963,AIB,AIB Acquisition Corp,NASDAQ,Technology,50.0,200,B,Medium,215,B,Medium,227,BB,Medium,300,B,Medium,742,2022-05-24
0000926282,ADTN,ADTRAN Inc,NASDAQ,Communications,600.0,2100,A,High,510,BB,Medium,308,BB,Medium,300,BBB,High,1118,2022-04-16
0001744494,ADN,Advent Technologies Holdings Inc,NASDAQ,Electrical Equipment,30.0,200,B,Medium,250,B,Medium,203,B,Medium,220,B,Medium,673,2022-04-20
0000012239,AIKI,Aikido Pharma Inc,NASDAQ,Biotechnology,10.0,80,B,Medium,200,B,Medium,235,B,Medium,205,B,Medium,640,2022-06-10
0001826574,AKIC,Sports Ventures Acquisition Corp,NASDAQ,Financial Services,0.0,20,B,Medium,200,B,Medium,205,B,Medium,230,B,Medium,635,2022-06-11
0001667011,AIP,Arteris Inc,NASDAQ,Technology,0.0,20,A,High,500,B,Medium,286,BB,Medium,300,BBB,High,1086,2022-06-07
0001744659,AKRO,Akero Therapeutics Inc,NASDAQ,Biotechnology,20.0,200,B,Medium,250,B,Medium,246,BB,Medium,305,BB,Medium,801,2022-06-10
0000353184,AIRT,Air T Inc,NASDAQ,Logistics and Transportation,200.0,900,B,Medium,234,B,Medium,210,BB,Medium,325,BB,Medium,769,2022-04-16
0001374535,AIMC,Altra Industrial Motion Corp,NASDAQ,Machinery,200.0,1200,A,High,525,BB,Medium,315,BB,Medium,305,BBB,High,1145,2022-04-16
0001517022,AKBA,Akebia Therapeutics Inc,NASDAQ,Biotechnology,30.0,300,B,Medium,200,B,Medium,218,B,Medium,215,B,Medium,633,2022-04-16
0001272842,AIRG,Airgain Inc,NASDAQ,Electrical Equipment,90.0,700,A,High,500,BB,Medium,300,BB,Medium,330,BBB,High,1130,2022-04-16
0001870940,AIRS,Airsculpt Technologies Inc,NASDAQ,Health Care,10.0,100,B,Medium,210,B,Medium,201,B,Medium,205,B,Medium,616,2022-06-11
0001086222,AKAM,Akamai Technologies Inc,NASDAQ,Technology,3461.0,10200,A,High,515,BB,Medium,341,BB,Medium,305,BBB,High,1161,2022-04-16
0001776197,AKU,Akumin Inc,NASDAQ,Health Care,400.0,2000,BBB,High,455,BB,Medium,347,BB,Medium,300,BBB,High,1102,2022-04-21
0001722271,AKUS,Akouos Inc,NASDAQ,Biotechnology,20.0,150,B,Medium,205,B,Medium,221,B,Medium,295,B,Medium,721,2022-06-10
0001584754,AKTS,Akoustis Technologies Inc,NASDAQ,Electrical Equipment,50.0,300,B,Medium,222,BB,Medium,302,BBB,High,428,BBB,High,952,2022-04-16
0001541157,AKTX,Akari Therapeutics PLC,NASDAQ,Pharmaceuticals,5.0,80,B,Medium,225,B,Medium,216,BB,Medium,305,B,Medium,746,2022-04-16
0001322505,ALBO,Albireo Pharma Inc,NASDAQ,Biotechnology,15.0,80,A,High,500,BB,Medium,300,BB,Medium,310,BBB,High,1110,2022-06-10
0001711933,AKYA,Akoya Biosciences Inc,NASDAQ,Life Sciences Tools and Services,50.0,300,A,High,512,BB,Medium,303,B,Medium,215,BBB,High,1030,2022-06-10
0000003545,ALCO,Alico Inc,NASDAQ,Food Products,200.0,900,A,High,500,BB,Medium,300,BB,Medium,300,BBB,High,1100,2022-04-16
0001341235,ALDX,Aldeyra Therapeutics Inc,NASDAQ,Biotechnology,10.0,100,B,Medium,231,B,Medium,261,B,Medium,235,B,Medium,727,2022-04-16
0001653087,ALEC,Alector Inc,NASDAQ,Biotechnology,10.0,100,B,Medium,240,B,Medium,277,BB,Medium,300,BB,Medium,817,2022-06-10
0000866291,ALGM,Allegro Microsystems Inc,NASDAQ,Semiconductors,600.0,2400,A,High,542,BB,Medium,314,B,Medium,250,BBB,High,1106,2022-06-10
0001833908,ALF,Alfi Inc,NASDAQ,Technology,100.0,400,B,Medium,225,B,Medium,260,BB,Medium,315,BB,Medium,800,2022-06-11
0001097149,ALGN,Align Technology Inc,NASDAQ,Health Care,3950.0,12000,B,Medium,235,B,Medium,285,B,Medium,255,BB,Medium,775,2022-04-16
0001799448,ALGS,Aligos Therapeutics Inc,NASDAQ,Biotechnology,50.0,300,B,Medium,210,B,Medium,222,B,Medium,235,B,Medium,667,2022-06-10
0001832466,ALHC,Alignment Healthcare LLC,NASDAQ,Healthcare,200.0,1800,B,Medium,210,BB,Medium,302,B,Medium,256,BB,Medium,768,2022-06-10
0001520262,ALKS,Alkermes Plc,NASDAQ,Biotechnology,970.0,1700,BBB,High,415,BB,Medium,302,BB,Medium,333,BBB,High,1050,2022-04-16
0001267602,ALIM,Alimera Sciences Inc,NASDAQ,Pharmaceuticals,20.0,150,B,Medium,220,B,Medium,228,B,Medium,243,B,Medium,691,2022-04-16
0001362468,ALGT,Allegiant Travel Co,NASDAQ,Airlines,540.0,3500,B,Medium,287,B,Medium,208,B,Medium,248,B,Medium,743,2022-04-16
0001757143,AIH,Aesthetic Medical International Holdings Group Ltd,NASDAQ,Health Care,100.0,500,B,Medium,220,B,Medium,250,BB,Medium,300,BB,Medium,770,2022-06-10
0001529274,ALKT,Alkami Technology Inc,NASDAQ,Technology,30.0,200,B,Medium,280,BB,Medium,305,B,Medium,260,BB,Medium,845,2022-06-10
0001178670,ALNY,Alnylam Pharmaceuticals Inc,NASDAQ,Biotechnology,980.0,1200,BB,Medium,331,BB,Medium,346,BB,Medium,325,BBB,High,1002,2022-04-16
0001365767,ALLT,Allot Ltd,NASDAQ,Technology,150.0,800,A,High,508,BB,Medium,324,BB,Medium,310,BBB,High,1142,2022-04-16
0001737287,ALLO,Allogene Therapeutics Inc,NASDAQ,Biotechnology,30.0,300,A,High,535,BB,Medium,324,BB,Medium,305,BBB,High,1164,2022-06-10
0000006951,AMAT,Applied Materials Inc,NASDAQ,Semiconductors,23063.0,29000,A,High,525,BB,Medium,317,BB,Medium,300,BBB,High,1142,2022-04-16
0000002488,AMD,Advanced Micro Devices Inc,NASDAQ,Semiconductors,16434.0,15500,B,Medium,200,B,Medium,208,B,Medium,200,B,Medium,608,2022-04-16
0000718877,ATVI,Activision Blizzard Inc,NASDAQ,Media,8803.0,9800,B,Medium,280,BB,Medium,347,BB,Medium,330,BBB,High,957,2022-04-16
0001730168,AVGO,Broadcom Inc,NASDAQ,Semiconductors,27450.0,20000,B,Medium,210,B,Medium,212,B,Medium,200,B,Medium,622,2022-04-16
0001013462,ANSS,ANSYS Inc,NASDAQ,Technology,1908.0,5500,A,High,580,BB,Medium,337,B,Medium,285,A,High,1202,2022-04-16
0001018724,AMZN,Amazon.com Inc,NASDAQ,Retail,469822.0,1608000,AA,Excellent,668,BB,Medium,305,BBB,High,460,A,High,1433,2022-04-16
0001711012,AIHS,Senmiao Technology Ltd,NASDAQ,Financial Services,100.0,500,B,Medium,220,B,Medium,203,B,Medium,200,B,Medium,623,2022-06-10
0001841666,APA,APA Corp (US),NASDAQ,Energy,6261.0,2400,A,High,510,BB,Medium,316,BB,Medium,325,BBB,High,1151,2022-04-16
0000875045,BIIB,Biogen Inc,NASDAQ,Biotechnology,10982.0,9000,BB,Medium,380,BB,Medium,303,BB,Medium,364,BBB,High,1047,2022-04-16
0001075531,BKNG,Booking Holdings Inc,NASDAQ,Hotels Restaurants and Leisure,10958.0,17000,A,High,558,BB,Medium,306,BB,Medium,310,BBB,High,1174,2022-06-10
0000813672,CDNS,Cadence Design Systems Inc,NASDAQ,Technology,2988.0,8800,A,High,500,BB,Medium,308,B,Medium,295,BBB,High,1103,2022-04-16
0001402057,CDW,CDW Corp,NASDAQ,Electrical Equipment,20829.0,14800,B,Medium,225,B,Medium,209,B,Medium,200,B,Medium,634,2022-04-16
0001043277,CHRW,CH Robinson Worldwide Inc,NASDAQ,Logistics and Transportation,23102.0,19000,A,High,575,BB,Medium,330,BB,Medium,338,A,High,1243,2022-04-16
0000020286,CINF,Cincinnati Financial Corp,NASDAQ,Insurance,7189.0,5800,B,Medium,235,B,Medium,275,B,Medium,250,BB,Medium,760,2022-04-16
0001091667,CHTR,Charter Communications Inc,NASDAQ,Media,51682.0,101000,A,High,500,BB,Medium,300,BB,Medium,300,BBB,High,1100,2022-04-16
0001166691,CMCSA,Comcast Corp,NASDAQ,Media,116385.0,189000,A,High,507,BB,Medium,343,BB,Medium,315,BBB,High,1165,2022-04-16
0000900075,CPRT,Copart Inc,NASDAQ,Commercial Services and Supplies,2688.0,23000,B,Medium,270,B,Medium,204,B,Medium,205,B,Medium,679,2022-04-16
0000909832,COST,Costco Wholesale Corp,NASDAQ,Retail,192052.0,288000,A,High,537,BB,Medium,306,B,Medium,225,BBB,High,1068,2022-04-16
0000277948,CSX,CSX Corp,NASDAQ,Road and Rail,12522.0,22742,A,High,510,BB,Medium,310,BB,Medium,325,BBB,High,1145,2022-04-17
0001058290,CTSH,Cognizant Technology Solutions Corp,NASDAQ,Technology,18521.0,300600,AA,Excellent,605,BB,Medium,365,BB,Medium,300,A,High,1270,2022-04-16
0001156375,CME,CME Group Inc,NASDAQ,Financial Services,4688.0,3000,BB,Medium,375,B,Medium,237,B,Medium,200,BB,Medium,812,2022-07-26
0000858877,CSCO,Cisco Systems Inc,NASDAQ,Communications,49818.0,79500,B,Medium,280,B,Medium,234,B,Medium,220,B,Medium,734,2022-06-11
0000723254,CTAS,Cintas Corp,NASDAQ,Commercial Services and Supplies,7058.0,45000,A,High,500,BB,Medium,300,BB,Medium,300,BBB,High,1100,2022-04-16
0000877890,CTXS,Citrix Systems Inc,NASDAQ,Technology,3278.0,9700,A,High,530,BB,Medium,305,BB,Medium,305,BBB,High,1140,2022-04-16
0001590895,CZR,Caesars Entertainment Inc,NASDAQ,Hotels Restaurants and Leisure,9567.0,65000,B,Medium,265,B,Medium,228,B,Medium,200,B,Medium,693,2022-04-16
0001001082,DISH,DISH Network Corp,NASDAQ,Media,17186.0,16500,B,Medium,210,B,Medium,263,B,Medium,205,B,Medium,678,2022-04-17
0000935703,DLTR,Dollar Tree Inc,NASDAQ,Retail,27209.0,193000,B,Medium,235,B,Medium,208,B,Medium,215,B,Medium,658,2022-04-17
0001093557,DXCM,Dexcom Inc,NASDAQ,Health Care,2389.0,6000,B,Medium,215,B,Medium,236,B,Medium,215,B,Medium,666,2022-04-17
0000712515,EA,Electronic Arts Inc,NASDAQ,Media,5629.0,9900,BB,Medium,360,BB,Medium,300,B,Medium,225,BB,Medium,885,2022-04-17
0000352541,LNT,Alliant Energy Corp,NASDAQ,Utilities,1655.0,4400,A,High,519,BB,Medium,307,BB,Medium,300,BBB,High,1126,2022-04-16
0001539838,FANG,Diamondback Energy Inc,NASDAQ,Energy,5720.0,1100,A,High,513,B,Medium,271,BB,Medium,300,BBB,High,1084,2022-04-17
0001065088,EBAY,eBay Inc,NASDAQ,Retail,10420.0,11600,A,High,500,BB,Medium,302,BB,Medium,305,BBB,High,1107,2022-04-17
0001065696,LKQ,LKQ Corp,NASDAQ,Distributors,12549.0,46000,A,High,515,BB,Medium,300,BB,Medium,305,BBB,High,1120,2022-04-18
0001652044,GOOGL,Alphabet Inc,NASDAQ,Media,257637.0,156500,B,Medium,295,BB,Medium,362,BB,Medium,355,BBB,High,1012,2022-04-30
0001048286,MAR,Marriott International Inc,NASDAQ,Hotels Restaurants and Leisure,13857.0,120000,B,Medium,215,B,Medium,200,B,Medium,215,B,Medium,630,2022-04-18
0000827054,MCHP,Microchip Technology Inc,NASDAQ,Semiconductors,5383.0,20000,A,High,500,BB,Medium,300,BB,Medium,300,BBB,High,1100,2022-04-18
0000707549,LRCX,Lam Research Corp,NASDAQ,Semiconductors,14629.0,15000,A,High,510,BB,Medium,325,BB,Medium,315,BBB,High,1150,2022-04-18
